Agency Name,Program Name,Populations Served,Agency Phone,Program Phone,Program Address 1,Program City,Program State,Program Zip,Program County,Program Region,Program Type Description,Program Category Description,Program Subcategory Description,Complete Address,lat,lon
Good Samaritan Hospital,Monsignor Patrick J. Frawley Mental Health Clinic,Children Adolescents Adults,(845)357-3300,(845)368-5222,3 Campbell Avenue,Suffern,NY,10901,Rockland,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,3 Campbell Avenue Suffern Rockland NY US 10901,41.1114287365774,-74.1309208124538
Jawonio Inc.,Jawonio - HH CM,Adults,(845)708-2000,(845)708-2000x1338,260 North Little Tor Road,New City,NY,10956,Rockland,Hudson River,Health Home Care Management,Support,Care Coordination,260 North Little Tor Road New City Rockland NY US 10956,41.164648,-74.004635
Jawonio Inc.,Jawonio - HH NonMed CM,Adults,(845)708-2000,(845)708-2042,260 North Little Tor Road,New City,NY,10956,Rockland,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,260 North Little Tor Road New City Rockland NY US 10956,41.164648,-74.004635
Jawonio Inc.,Jawonio PROS,Adults,(845)708-2000,(845)708-2000x2343,775 N. Main Street,Spring Valley,NY,10977-8968,Rockland,Hudson River,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,775 N. Main Street Spring Valley Rockland NY US 10977-8968,41.1132753,-74.0445907
Jawonio Inc.,Transitional Business Model,Adults,(845)708-2000,(845)708-2000x2220,260 North Little Tor Road,New City,NY,10956,Rockland,Hudson River,Transitional Business Model,Support,Vocational,260 North Little Tor Road New City Rockland NY US 10956,41.164648,-74.004635
Nyack Hospital,Nyack Hospital Psychiatric Inpatient Program,Adults,(845)348-2110,(845)348-2110,160 North Midland Avenue,Nyack,NY,10960-1912,Rockland,Hudson River,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,160 North Midland Avenue Nyack Rockland NY US 10960-1912,41.0959963,-73.9262204
Rockland County Dept. of Mental Health LGU,Community Mental Health Services,Adults,(845)364-2378,(845)364-2378,11 New Hempstead Road,New City,NY,10956,Rockland,Hudson River,Outreach,Support,General Support,11 New Hempstead Road New City Rockland NY US 10956,41.148158,-73.991906
Rockland County Dept. of Mental Health LGU,North Central Rockland District Clinic,Children Adolescents Adults,(845)364-2378,(845)364-2275,50 Sanatorium Road,Pomona,NY,10970-3555,Rockland,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,50 Sanatorium Road Pomona Rockland NY US 10970-3555,41.1615215165441,-74.0362405123426
Rockland County Dept. of Mental Health LGU,Transitional Management Services,Not Reported,(845)364-2378,(845)364-2378,53 New Hempstead Road,New City,NY,10956,Rockland,Hudson River,Transition Management Services,Support,Care Coordination,53 New Hempstead Road New City Rockland NY US 10956,41.147571,-73.993939
Rockland Hospital Guild Inc.,Advoc. Supp Serv,Adults,(845)680-6226,(845)680-6226,2 Irving'S Way,Orangeburg,NY,10962,Rockland,Hudson River,Advocacy/Support Services,Support,Self-Help,2 Irving'S Way Orangeburg Rockland NY US 10962,41.045395,-73.969894
Rockland Paramedic Services Inc.,Rockland Paramedic Services Behavioral Health Response Team,Children Adolescents Adults,(845)627-8612,(845)627-8612,540 Chestnut Ridge Road,Chestnut Ridge,NY,10977,Rockland,Hudson River,Crisis  Intervention,Emergency,Crisis,540 Chestnut Ridge Road Chestnut Ridge Rockland NY US 10977,41.097066,-74.047721
Rockland Psychiatric Center,Orangeburg Service Center,Adults,(845)359-1000,(845)398-7050,140 Old Orangeburg Road,Orangeburg,NY,10962-1157,Rockland,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,140 Old Orangeburg Road Orangeburg Rockland NY US 10962-1157,41.0456359,-73.958032
VCS Inc.,VCS Mental Health Clinic,Adults,(845)634-5729,(845)634-5729,77 South Main Street,New City,NY,10956-3511,Rockland,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,77 South Main Street New City Rockland NY US 10956-3511,41.1447,-73.989996
Capital District Psychiatric Center,Capital District PC @ TSA Saratoga Co - HHCM,Adults,(518)549-6000,(518)583-3640x201,127 Union Street,Saratoga Springs,NY,12866-4411,Saratoga,Hudson River,Health Home Care Management,Support,Care Coordination,127 Union Street Saratoga Springs Saratoga NY US 12866-4411,43.0719009,-73.7905286
Four Winds Foundation,C.A.P.E.S. Program for Primary Care Physicians,Not Reported,(914)763-8151,(518)584-3600,30 Crescent Avenue,Saratoga Springs,NY,12866,Saratoga,Hudson River,Advocacy/Support Services,Support,Self-Help,30 Crescent Avenue Saratoga Springs Saratoga NY US 12866,43.05682955,-73.7849335536479
FW of Saratoga Inc.,Four Winds - Saratoga,Children Adolescents Adults,(518)584-3600,(518)584-3600,30 Crescent Avenue,Saratoga Springs,NY,12866,Saratoga,Hudson River,Hospital for Mentally Ill,Inpatient,Private Psychiatric Hospital,30 Crescent Avenue Saratoga Springs Saratoga NY US 12866,43.05682955,-73.7849335536479
FW of Saratoga Inc.,FW-Saratoga Adult Partial Hospital Program,Adults,(518)584-3600,(518)584-3600x3536,30 Crescent Avenue,Saratoga Springs,NY,12866,Saratoga,Hudson River,Partial Hospitalization,Outpatient,Partial Hospitalization,30 Crescent Avenue Saratoga Springs Saratoga NY US 12866,43.05682955,-73.7849335536479
Mechanicville Area Community Services Center,Information & Referral,Children Adolescents Adults,(518)664-8322,(518)664-8322x304,6 S. Main Street,Mechanicville,NY,12118,Saratoga,Hudson River,Advocacy/Support Services,Support,Self-Help,6 S. Main Street Mechanicville Saratoga NY US 12118,42.9025555,-73.6867095
Northeast Parent & Child Society,Respite Services - Saratoga OMH,Children Adolescents,(518)346-1284,(518)381-8911,530 Franklin Street,Schenectady,NY,12305,Saratoga,Hudson River,Respite Services,Support,General Support,530 Franklin Street Schenectady Saratoga NY US 12305,42.81305,-73.93841
NYS ARC Saratoga County Chapter,MH Transportation,Adults,(518)587-5747,(518)587-5747x119,16 Saratoga Bridges Blvd,Ballston Spa,NY,12020,Saratoga,Hudson River,Transportation,Support,General Support,16 Saratoga Bridges Blvd Ballston Spa Saratoga NY US 12020,43.017265,-73.79154
NYS ARC Saratoga County Chapter,SE - MH,Adults,(518)587-5747,(518)587-5747x119,16 Saratoga Bridges Blvd,Ballston Spa,NY,12020,Saratoga,Hudson River,Ongoing Integrated Supported Employment Services,Support,Vocational,16 Saratoga Bridges Blvd Ballston Spa Saratoga NY US 12020,43.017265,-73.79154
Parsons Child and Family Center,Child & Family Guidance Center at Malta,Children Adolescents Adults,(518)426-2600,(518)292-5433,100 Saratoga Village Blvd,Malta,NY,12020-3737,Saratoga,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,100 Saratoga Village Blvd Malta Saratoga NY US 12020-3737,42.967305,-73.795982
Parsons Child and Family Center,HBCI Warren/Washington Co,Children Adolescents,(518)426-2600,(518)292-5433,100 Saratoga Village Blvd,Malta,NY,12020,Saratoga,Hudson River,Home Based Crisis Intervention,Emergency,Crisis,100 Saratoga Village Blvd Malta Saratoga NY US 12020,42.967305,-73.795982
Saratoga Center for the Family Inc.,Advocacy/Support Services,Children Adolescents Adults,(518)587-8008,(518)587-8008,359 Ballston Avenue,Saratoga Springs,NY,12866,Saratoga,Hudson River,Advocacy/Support Services,Support,Self-Help,359 Ballston Avenue Saratoga Springs Saratoga NY US 12866,43.0631574,-73.8004335173457
Saratoga County Community Services Board,Advocacy Support Services,Adults,(518)584-9030,(518)584-9030,135 South Broadway,Saratoga Springs,NY,12866,Saratoga,Hudson River,Advocacy/Support Services,Support,Self-Help,135 South Broadway Saratoga Springs Saratoga NY US 12866,43.07014,-73.7892953
Saratoga County Community Services Board,Saratoga County Mental Health Clinic,Children Adolescents Adults,(518)584-9030,(518)584-9030,135 South Broadway,Saratoga Springs,NY,12866-4532,Saratoga,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,135 South Broadway Saratoga Springs Saratoga NY US 12866-4532,43.07014,-73.7892953
Saratoga County Community Services Board,Saratoga County PROS dba Reflections PROS,Adults,(518)584-9030,(518)885-4521,135 South Broadway,Saratoga Springs,NY,12866-4532,Saratoga,Hudson River,Comprehensive PROS without Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,135 South Broadway Saratoga Springs Saratoga NY US 12866-4532,43.07014,-73.7892953
Saratoga County Community Services Board,Transition Management Services,Adults,(518)584-9030,(518)584-9030,135 South Broadway,Saratoga Springs,NY,12866,Saratoga,Hudson River,Transition Management Services,Support,Care Coordination,135 South Broadway Saratoga Springs Saratoga NY US 12866,43.07014,-73.7892953
Shelters of Saratoga,Shelters Saratoga - Non Medicaid CC,Adults,(518)581-1097,(518)581-1097,14 Walworth Street,Saratoga Springs,NY,12866,Saratoga,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,14 Walworth Street Saratoga Springs Saratoga NY US 12866,43.0808685,-73.7915652275281
The Saratoga Hospital,Saratoga Hospital Psychiatric Inpatient Unit,Adults,(518)587-3222,(518)583-8400,211 Church Street,Saratoga Springs,NY,12866,Saratoga,Hudson River,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,211 Church Street Saratoga Springs Saratoga NY US 12866,43.08660695,-73.7989537727105
The Workshop Inc. dba Northeast Career Plann,Extended Services - Saratoga,Adults,(518)465-5201,(518)812-0280,16 Pearl Street,Glens Falls,NY,12801,Saratoga,Hudson River,Ongoing Integrated Supported Employment Services,Support,Vocational,16 Pearl Street Glens Falls Saratoga NY US 12801,43.312374,-73.64157
Transitional Services Association Inc.,Care Manaagement Youth Non Medicaid,Children Adolescents,(518)587-6193,(518)587-6193,127 Union Street,Saratoga Springs,NY,12866-4411,Saratoga,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,127 Union Street Saratoga Springs Saratoga NY US 12866-4411,43.0719009,-73.7905286
Transitional Services Association Inc.,Health  Home Care Management C&Y,Children Adolescents,(518)587-6193,(518)587-6193,127 Union Street,Saratoga Springs,NY,12866-4411,Saratoga,Hudson River,Health Home Care Management,Support,Care Coordination,127 Union Street Saratoga Springs Saratoga NY US 12866-4411,43.0719009,-73.7905286
Transitional Services Association Inc.,Respite Care,Adults,(518)587-6193,(518)584-2746,95 Van Dam Street,Saratoga Springs,NY,12866,Saratoga,Hudson River,Respite Services,Support,General Support,95 Van Dam Street Saratoga Springs Saratoga NY US 12866,43.085657,-73.7893775
Transitional Services Association Inc.,SH Wrap Around Service,Adults,(518)587-6193,(518)587-6193,127 Union Street,Saratoga Springs,NY,12866-4411,Saratoga,Hudson River,On-Site Rehabilitation,Support,General Support,127 Union Street Saratoga Springs Saratoga NY US 12866-4411,43.0719009,-73.7905286
Transitional Services Association Inc.,TSA - Non Medicaid CC,Children Adolescents,(518)587-6193,(518)584-6688,162 Circular Street,Saratoga Springs,NY,12866,Saratoga,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,162 Circular Street Saratoga Springs Saratoga NY US 12866,43.0838351385557,-73.7794813516949
Transitional Services Association Inc.,TSA - Saratoga Cty - HH CM,Adults,(518)587-6193,(518)583-3640,127 Union Street,Saratoga Springs,NY,12866-4411,Saratoga,Hudson River,Health Home Care Management,Support,Care Coordination,127 Union Street Saratoga Springs Saratoga NY US 12866-4411,43.0719009,-73.7905286
Transitional Services Association Inc.,TSA - Saratoga Cty - HH Non- Med CM,Adults,(518)587-6193,(518)583-3640,127 Union Street,Saratoga Springs,NY,12866-4411,Saratoga,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,127 Union Street Saratoga Springs Saratoga NY US 12866-4411,43.0719009,-73.7905286
Transitional Services Association Inc.,Work Program,Adults,(518)587-6193,(518)587-6193x326,127 Union Street,Saratoga Springs,NY,12866-4411,Saratoga,Hudson River,Work Program,Support,Vocational,127 Union Street Saratoga Springs Saratoga NY US 12866-4411,43.0719009,-73.7905286
Unlimited Possibilities Inc.,Assisted Competitive Employment (ACE),Adults,(518)587-2851,(518)587-2851,36 Cady Hill Blvd,Saratoga Springs,NY,12866,Saratoga,Hudson River,Assisted Competitive Employment,Support,Vocational,36 Cady Hill Blvd Saratoga Springs Saratoga NY US 12866,43.0625024,-73.8220686
Unlimited Possibilities Inc.,Client Worker,Adults,(518)587-2851,(518)587-2851,36 Cady Hill Blvd,Saratoga Springs,NY,12866,Saratoga,Hudson River,Work Program,Support,Vocational,36 Cady Hill Blvd Saratoga Springs Saratoga NY US 12866,43.0625024,-73.8220686
Unlimited Possibilities Inc.,Golden Club,Adults,(518)587-2851,(518)587-2851,36 Cady Hill Blvd,Saratoga Springs,NY,12866,Saratoga,Hudson River,Psychosocial Club,Support,Self-Help,36 Cady Hill Blvd Saratoga Springs Saratoga NY US 12866,43.0625024,-73.8220686
Unlimited Possibilities Inc.,ISE Ongoing Integrated Supported Employment,Adults,(518)587-2851,(518)587-2851,36 Cady Hill Blvd,Saratoga Springs,NY,12866,Saratoga,Hudson River,Ongoing Integrated Supported Employment Services,Support,Vocational,36 Cady Hill Blvd Saratoga Springs Saratoga NY US 12866,43.0625024,-73.8220686
Unlimited Possibilities Inc.,Peer Advocacy,Adults,(518)587-2851,(518)587-2851,36 Cady Hill Blvd,Saratoga Springs,NY,12866,Saratoga,Hudson River,Advocacy/Support Services,Support,Self-Help,36 Cady Hill Blvd Saratoga Springs Saratoga NY US 12866,43.0625024,-73.8220686
Unlimited Possibilities Inc.,Self Help,Adults,(518)587-2851,(518)587-2851,36 Cady Hill Blvd,Saratoga Springs,NY,12866,Saratoga,Hudson River,Self-Help Programs,Support,Self-Help,36 Cady Hill Blvd Saratoga Springs Saratoga NY US 12866,43.0625024,-73.8220686
Unlimited Possibilities Inc.,Supported Education,Adults,(518)587-2851,(518)587-2851,36 Cady Hill Blvd,Saratoga Springs,NY,12866,Saratoga,Hudson River,Supported Education,Support,Education,36 Cady Hill Blvd Saratoga Springs Saratoga NY US 12866,43.0625024,-73.8220686
Unlimited Possibilities Inc.,Transitional Employment,Adults,(518)587-2851,(518)587-2851,36 Cady Hill Blvd,Saratoga Springs,NY,12866,Saratoga,Hudson River,Transitional Employment Placement (TEP),Support,Vocational,36 Cady Hill Blvd Saratoga Springs Saratoga NY US 12866,43.0625024,-73.8220686
Unlimited Possibilities Inc.,Warm Line Alternative Crisis Support,Adults,(518)587-2851,(518)587-2851,36 Cady Hill Blvd,Saratoga Springs,NY,12866,Saratoga,Hudson River,Advocacy/Support Services,Support,Self-Help,36 Cady Hill Blvd Saratoga Springs Saratoga NY US 12866,43.0625024,-73.8220686
Bethesda House of Schenectady Inc.,Drop-In Center,Children Adults,(518)374-7873,(518)374-7873,834 State Street,Schenectady,NY,12307,Schenectady,Hudson River,Drop In Centers,Support,Self-Help,834 State Street Schenectady Schenectady NY US 12307,42.806389,-73.9335515555556
Burnt Hills-Ballston Lake Community Human Svs,Community Human Services Respite,Children Adolescents Adults,(518)399-4624,(518)399-4624,543 Saratoga Road,Glenville,NY,12302,Schenectady,Hudson River,Respite Services,Support,General Support,543 Saratoga Road Glenville Schenectady NY US 12302,42.8939463076923,-73.9194611538461
Burnt Hills-Ballston Lake Community Human Svs,Family Support Services,Children Adolescents,(518)399-4624,(518)399-4624,543 Saratoga Road,Glenville,NY,12302,Schenectady,Hudson River,Family Support Services - Children & Family,Support,General Support,543 Saratoga Road Glenville Schenectady NY US 12302,42.8939463076923,-73.9194611538461
Capital District Psychiatric Center,Capital District PC @ Ellis Hospital  - HHCM,Adults,(518)549-6000,(518)831-6954,216 Lafayette Street,Schenectady,NY,12305,Schenectady,Hudson River,Health Home Care Management,Support,Care Coordination,216 Lafayette Street Schenectady Schenectady NY US 12305,42.8112368670809,-73.9401719691902
Capital District Psychiatric Center,Schenectady County Clinic Treatment Program,Adults,(518)549-6000,(518)374-3403,738 State Street,Schenectady,NY,12305-1206,Schenectady,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,738 State Street Schenectady Schenectady NY US 12305-1206,42.8089692352941,-73.9365336470588
Capital District YMCA,Advocacy/Support Services,Adults,(518)374-9136,(518)374-9136,845 Broadway,Schenectady,NY,12305,Schenectady,Hudson River,Advocacy/Support Services,Support,Self-Help,845 Broadway Schenectady Schenectady NY US 12305,42.8044381444444,-73.9499419
Capital District YMCA,community support,Adults,(518)374-9136,(518)374-9136x4400,845 Broadway,Schenectady,NY,12305,Schenectady,Hudson River,Outreach,Support,General Support,845 Broadway Schenectady Schenectady NY US 12305,42.8044381444444,-73.9499419
Ellis Hospital,Affirmative Business/Industry,Adults,(518)243-4000,(518)831-6960,502 State Street,Schenectady,NY,12308,Schenectady,Hudson River,Affirmative Business/Industry,Support,Vocational,502 State Street Schenectady Schenectady NY US 12308,42.8118466666667,-73.940482
Ellis Hospital,Ellis Child and Adolescent Treatment Services,Children Adolescents,(518)243-4000,(518)382-2290,624 Mcclellan Street,Schenectady,NY,12304-1020,Schenectady,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,624 Mcclellan Street Schenectady Schenectady NY US 12304-1020,42.8053791407035,-73.9171670904523
Ellis Hospital,Ellis Hospital Department of Psychiatry,Adolescents Adults,(518)243-4000,(518)243-4212,1101 Nott Street,Schenectady,NY,12308-2425,Schenectady,Hudson River,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,1101 Nott Street Schenectady Schenectady NY US 12308-2425,42.82021325,-73.9164609309065
Ellis Hospital,Ellis Hospital Forensic Services,Adults,(518)243-4000,(518)388-4311,320 Veeder Avenue,Schenectady,NY,12307,Schenectady,Hudson River,Crisis  Intervention,Emergency,Crisis,320 Veeder Avenue Schenectady Schenectady NY US 12307,42.8096500344828,-73.939982
Ellis Hospital,Ellis Hospital - HH CM,Adults,(518)243-4000,(518)243-4000,1101 Nott Street,Schenectady,NY,12308,Schenectady,Hudson River,Health Home Care Management,Support,Care Coordination,1101 Nott Street Schenectady Schenectady NY US 12308,42.82021325,-73.9164609309065
Ellis Hospital,Ellis Hospital - HH Non-Medicaid CM,Adults,(518)243-4000,(518)243-4000,216 Lafayette Street,Schenectady,NY,12308,Schenectady,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,216 Lafayette Street Schenectady Schenectady NY US 12308,42.8112368670809,-73.9401719691902
Ellis Hospital,Ellis Hospital PROS,Adults,(518)243-4000,(518)243-3300,1023 State Street,Schenectady,NY,12307-1511,Schenectady,Hudson River,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,1023 State Street Schenectady Schenectady NY US 12307-1511,42.802445625,-73.9287795
Ellis Hospital,Ellis Mental Health Clinic,Adults,(518)243-4000,(518)243-3300,1023 State Street,Schenectady,NY,12307-1511,Schenectady,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,1023 State Street Schenectady Schenectady NY US 12307-1511,42.802445625,-73.9287795
Ellis Hospital,Healthy Steps Specialist,Children,(518)243-4000,(518)243-4840,624 Mcclellan,Schenectady,NY,12308,Schenectady,Hudson River,Advocacy/Support Services,Support,Self-Help,624 Mcclellan Schenectady Schenectady NY US 12308,42.8053791407035,-73.9171670904523
Ellis Hospital,Non-Inpatient Crisis Services,Children Adolescents Adults,(518)243-4000,(518)386-3302,1101 Nott Street,Schenectady,NY,12308-2487,Schenectady,Hudson River,Crisis  Intervention,Emergency,Crisis,1101 Nott Street Schenectady Schenectady NY US 12308-2487,42.82021325,-73.9164609309065
Ellis Hospital,Peer Advocacy Program,Not Reported,(518)243-4000,(518)386-3302,216 Lafayette Street,Schenectady,NY,12304,Schenectady,Hudson River,Advocacy/Support Services,Support,Self-Help,216 Lafayette Street Schenectady Schenectady NY US 12304,42.8112368670809,-73.9401719691902
Ellis Hospital,Supported Housing,Adults,(518)243-4000,(518)374-2785,13 State Street,Schenectady,NY,12305,Schenectady,Hudson River,Advocacy/Support Services,Support,Self-Help,13 State Street Schenectady Schenectady NY US 12305,42.8153378168509,-73.9489625509911
Family & Children's Services of the Capital R,Contact Lifeline,Adolescents Adults,(518)462-6531,(518)462-6531x106,650 Warren Street,Albany,NY,12208,Schenectady,Hudson River,Advocacy/Support Services,Support,Self-Help,650 Warren Street Albany Schenectady NY US 12208,42.658733,-73.78701
Mohawk Opportunities Inc.,Assisted OP Trmt - Non Medicaid CC,Adults,(518)374-8424,(518)370-3698,201 Nott Terrace,Schenectady,NY,12307,Schenectady,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,201 Nott Terrace Schenectady Schenectady NY US 12307,42.811049,-73.93666
Mohawk Opportunities Inc.,Assisted Outpatient Treatment (2),Adults,(518)374-8424,(518)370-3698,201 Nott Terrace,Schenectady,NY,12307,Schenectady,Hudson River,Transition Management Services,Support,Care Coordination,201 Nott Terrace Schenectady Schenectady NY US 12307,42.811049,-73.93666
Mohawk Opportunities Inc.,Mohawk Opportunities ACT Program,Adults,(518)374-8424,(518)372-3934,201 Nott Terrace,Schenectady,NY,12307-1025,Schenectady,Hudson River,Assertive Community Treatment (ACT),Outpatient,Assertive Community Treatment,201 Nott Terrace Schenectady Schenectady NY US 12307-1025,42.811049,-73.93666
Mohawk Opportunities Inc.,Reinvestment Work Program,Adults,(518)374-8424,(518)374-8424,201 Nott Terrace,Schenectady,NY,12307,Schenectady,Hudson River,Work Program,Support,Vocational,201 Nott Terrace Schenectady Schenectady NY US 12307,42.811049,-73.93666
Northeast Parent & Child Society,Northeast - Hamilton Elementary - SBMH,Children Adolescents,(518)346-1284,(518)381-8911,1091 Webster Street,Schenectady,NY,12308,Schenectady,Hudson River,School Based Mental Health,Support,Education,1091 Webster Street Schenectady Schenectady NY US 12308,42.796955,-73.950109
Northeast Parent & Child Society,Northeast Parent & Child Society Behavioral Health Center,Children Adolescents Adults,(518)346-1284,(518)381-8911,530 Franklin Street,Schenectady,NY,12305-2011,Schenectady,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,530 Franklin Street Schenectady Schenectady NY US 12305-2011,42.81284155,-73.9385792766998
Northeast Parent & Child Society,Northeast - Pleasant Valley Elementary - SBMH,Children Adolescents,(518)346-1284,(518)381-8911,1097 Forest Road,Schenectady,NY,12308,Schenectady,Hudson River,School Based Mental Health,Support,Education,1097 Forest Road Schenectady Schenectady NY US 12308,42.7997415029145,-73.9419279333691
Northeast Parent & Child Society,NPCS - Intensive Family Empowerment Program,Adolescents,(518)346-1284,(518)381-8911x11,530 Franklin Street,Schenectady,NY,12305,Schenectady,Hudson River,Family Support Services - Children & Family,Support,General Support,530 Franklin Street Schenectady Schenectady NY US 12305,42.81284155,-73.9385792766998
Northeast Parent & Child Society,NPCS - School To Work - SANE School,Adolescents,(518)346-1284,(518)346-7011,1821 Hamburg Street,Schenectady,NY,12308,Schenectady,Hudson River,Vocational Services - Children & Family (C & F),Support,Vocational,1821 Hamburg Street Schenectady Schenectady NY US 12308,42.79130025,-73.9297175
Parsons Child and Family Center,Family Support,Children Adolescents Adults,(518)426-2600,(518)431-1631,530 Franklin Street,Schenectady,NY,12305,Schenectady,Hudson River,Family Support Services - Children & Family,Support,General Support,530 Franklin Street Schenectady Schenectady NY US 12305,42.81284155,-73.9385792766998
Parsons Child and Family Center,Health Home Non Medicaid Care Management,Children Adolescents,(518)426-2600,(518)431-1631,530 Franklin Street,Schenectady,NY,12305,Schenectady,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,530 Franklin Street Schenectady Schenectady NY US 12305,42.81284155,-73.9385792766998
Rehabilitation Support Services Inc.,Compeer - Schenectady County,Adults,(518)464-1511,(518)464-1511,314 Central Avenue,Albany,NY,12206,Schenectady,Hudson River,Advocacy/Support Services,Support,Self-Help,314 Central Avenue Albany Schenectady NY US 12206,42.7497566,-73.869496
Rehabilitation Support Services Inc.,HELP,Not Reported,(518)464-1511,(518)462-0111,1559 Van Vranken Avenue,Schenectady,NY,12308,Schenectady,Hudson River,Affirmative Business/Industry,Support,Vocational,1559 Van Vranken Avenue Schenectady Schenectady NY US 12308,42.8211003333333,-73.9262971111111
Rehabilitation Support Services Inc.,RSS - HH CM - Schenectady County,Adults,(518)464-1511,(518)372-1100,1559 Van Vranken Avenue,Schenectady,NY,12308,Schenectady,Hudson River,Health Home Care Management,Support,Care Coordination,1559 Van Vranken Avenue Schenectady Schenectady NY US 12308,42.8211003333333,-73.9262971111111
Schenectady County Office of Community Servic,Advocacy / Support Services,Adults,(518)386-2218,(518)386-2218,797 Broadway,Schenectady,NY,12305,Schenectady,Hudson River,Advocacy/Support Services,Support,Self-Help,797 Broadway Schenectady Schenectady NY US 12305,42.80386025,-73.951233855175
The Workshop Inc. dba Northeast Career Plann,Peer Supp/PSHYCH - Schenectady,Adults,(518)465-5201,(518)438-3445,28 Colvin Avenue,Albany,NY,12206,Schenectady,Hudson River,Supported Education,Support,Education,28 Colvin Avenue Albany Schenectady NY US 12206,42.678337,-73.79589
Catskill Center for Independence,Assistive Competitive Employment Services,Adults,(607)432-8000,(518)234-4254,795 East Main Street,Cobleskill,NY,12043,Schoharie,Hudson River,Assisted Competitive Employment,Support,Vocational,795 East Main Street Cobleskill Schoharie NY US 12043,42.6798440577746,-74.4750787907438
NYS ARC Schoharie County Chapter,Supported Employment,Adults,(518)295-8130,(518)295-8130,121 Opportunity Drive,Schoharie,NY,12157,Schoharie,Hudson River,Ongoing Integrated Supported Employment Services,Support,Vocational,121 Opportunity Drive Schoharie Schoharie NY US 12157,42.640594,-74.323616
NYS ARC Schoharie County Chapter,Transitions Day Hab,Adults,(518)295-8130,(518)295-8130x261,215 S. Grand Street,Cobleskill,NY,12043,Schoharie,Hudson River,Ongoing Integrated Supported Employment Services,Support,Vocational,215 S. Grand Street Cobleskill Schoharie NY US 12043,42.6767641131192,-74.4847619110064
NYS ARC Schoharie County Chapter,Vocational Placement,Adults,(518)295-8130,(518)295-8130,121 Opportunity Drive,Schoharie,NY,12157,Schoharie,Hudson River,Ongoing Integrated Supported Employment Services,Support,Vocational,121 Opportunity Drive Schoharie Schoharie NY US 12157,42.640594,-74.323616
Schoharie County Community Action Program In,Family & Support Services,Children Adolescents,(518)234-2568,(518)234-0261,795 East Main Street,Cobleskill,NY,12043,Schoharie,Hudson River,Family Support Services - Children & Family,Support,General Support,795 East Main Street Cobleskill Schoharie NY US 12043,42.6798440577746,-74.4750787907438
Schoharie County Community Action Program In,Schoharie County Community Action Program Inc.,Children Adolescents Adults,(518)234-2568,(518)234-2568,795 E. Main Street,Cobleskill,NY,12043,Schoharie,Hudson River,Advocacy/Support Services,Support,Self-Help,795 E. Main Street Cobleskill Schoharie NY US 12043,42.6798440577746,-74.4750787907438
Schoharie County Community Action Program In,Transportation,Children Adolescents Adults,(518)234-2568,(518)234-2568,150 E Main Street,Cobleskill,NY,12043,Schoharie,Hudson River,Transportation,Support,General Support,150 E Main Street Cobleskill Schoharie NY US 12043,42.6791917,-74.4781026
Schoharie County Community Mental Health Ctr,Advocacy Services,Children Adolescents Adults,(518)295-8336,(518)295-8336,113 Park Place,Schoharie,NY,12157,Schoharie,Hudson River,Advocacy/Support Services,Support,Self-Help,113 Park Place Schoharie Schoharie NY US 12157,42.6769465050513,-74.4870263809448
Schoharie County Community Mental Health Ctr,Outreach,Children Adolescents Adults,(518)295-8336,(518)295-8407,113 Park Place,Schoharie,NY,12157,Schoharie,Hudson River,Outreach,Support,General Support,113 Park Place Schoharie Schoharie NY US 12157,42.6769465050513,-74.4870263809448
Schoharie County Community Mental Health Ctr,Schoharie Co. CMH - Non Medicaid CC,Children Adolescents Adults,(518)295-8336,(518)295-8336,113 Park Place,Schoharie,NY,12157,Schoharie,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,113 Park Place Schoharie Schoharie NY US 12157,42.6769465050513,-74.4870263809448
